Timestamp,Status,Place,Longitude,Latitude,Country
7/24/2014 23:57,"RT @TheWarRoom_Tom: ""Did Moscow even bother to Wikipedia its own bullshit before disseminating it?"" @michaeldweiss in FP:
http://t.co/8uHHq…","Florida, USA",27.6648274,-81.5157535,United States
7/24/2014 23:57,"RT @EuromaidanPR: About mile from main #MH17 crash site, @OSCE_SMM came across huge fuselage haven't seen b4 http://t.co/tYXCED8qgp @CBSEve…","Lund, Sweden",55.7046601,13.1910073,Sweden
7/24/2014 23:57,"RT @billshortenmp: Last night, I was interviewed by @camanpour about #MH17 and #climatechange. Watch it here: http://t.co/0ngqGTiyoV","Melbourne VIC, Australia",-37.814107,144.96328,Australia
7/24/2014 23:57,"RT @BenFranklin06: We Mourn For #MH17
Shot Down At 17-7-2014
and
We Pray For #Gaza
Invaded On 17-7-2014 http://t.co/es5JmcW193","Ashland, KY, USA",38.4784144,-82.6379387,United States
7/24/2014 23:57,@OutFrontCNN @GeorgeHowellCNN @ErinBurnett #MH17 result of Zionist PNAC neocon Ukraine meddling  vs #Russia http://t.co/8KUilaBsEQ #OutFront,"Everywhere Branch, Spring Creek, MO, USA",37.6658757,-91.8479332,United States
7/24/2014 23:57,RT @amtvmedia: Why was Flight #MH17 Instructed by Air Traffic Controllers to Divert Route minutes before Crash? http://t.co/QFyaY8wRUT,Ireland,53.41291,-8.24389,Ireland
7/24/2014 23:57,@ErinBurnett #outfront Wow ur making Putin's Propaganda for him by comparing US mistake and #mh17.,"San Diego, CA, USA",32.715738,-117.1610838,United States
7/24/2014 23:57,disaster #mh17 http://t.co/SUZ1oAPlNa,"Rotterdam, The Netherlands",51.930833,4.479167,The Netherlands
7/24/2014 23:56,"@HeyJulla  :(   ""@YahooNews: VIDEO: A young victim's premonition, hug before #MH17: http://t.co/2dRdku7xuJ http://t.co/PBCbYyzXo7""","Cebu City, Philippines",10.3156992,123.8854366,Philippines
7/24/2014 23:56,MH17 Flight Recorders Delivered to U.K. http://t.co/IhsV6OXp8N #WhereIsTheFuckingPlane.com #MH17,"Japan, 〒517-0014 Mie Prefecture, Toba, Katakamicho, 112−1 ＷＯＲＬＤＷＩＤＥ",34.4805388,136.8223514,Japan
7/24/2014 23:56,What's Vladimir Putin's next move? http://t.co/p6CPpj2bGU #WhereIsTheFuckingPlane.com #MH17,"Japan, 〒517-0014 Mie Prefecture, Toba, Katakamicho, 112−1 ＷＯＲＬＤＷＩＤＥ",34.4805388,136.8223514,Japan
7/24/2014 23:56,RT @lee_c_wei: I can't help but feel extremely sad for those whose family &amp; loved ones involved in #MH17 #GE222 #AH5017 &amp; #MH370 😞 http://t…,"Hongkai Apartment, Hongkou, Shanghai, China, 200083",31.2763108,121.4769718,China
